005435.2 +191118 +0.018 -0.014  5.74
005417.6 -084427 +0.018 -0.052  6.16
005505.2 +484043 -0.022 -0.006  6.27
005337.9 -625217 +0.073 +0.004  5.70
005458.0 +233742 +0.131 -0.031  5.47
005514.7 +243325 +0.020 -0.015  6.20
005612.9 +575948 +0.037 -0.014  6.21
005655.6 +684634 +0.137 -0.021  6.37
005558.5 +271234 -0.020 +0.013  6.09
005542.4 -072050 -0.007 -0.046  5.85
005642.5 +604300 +0.026 -0.005  2.47
005639.8 +591052 -0.092 -0.046  4.63
005647.1 +602146 +0.032 -0.008  5.55
005601.5 -111600 -0.020 -0.008  5.31
005555.5 -274632  0.000 +0.002  6.10
005645.2 +382958 +0.152 +0.033  3.87
005500.3 -693137 +0.006 -0.045  5.45
005712.4 +232503 -0.044 -0.048  4.42
005739.7 +455023 +0.013 +0.005  6.12
005831.1 +662108 +0.043 -0.006  5.97
005750.2 +285932 +0.008 -0.008  5.42
005814.2 +335703 +0.035 -0.072  5.98
005754.5 +134145 -0.011 -0.013  6.32
005818.9 +212416 -0.006 -0.003  6.37
010031.0 +705859 +0.082  0.000  6.39
005843.9 -112248 -0.034 -0.019  5.61
005836.4 -292127 +0.022 +0.004  4.31
005822.4 -604147 +0.050 +0.018  6.23
010003.4 +444240 +0.011 -0.024  6.84
010003.6 +444248 +0.016 -0.023  6.04
005949.7 +062859 +0.023 -0.008  6.11
010844.7 +861525 +0.076 -0.012  4.25
013350.4 +890056 +0.062 -0.036  6.46
010218.4 +510206 -0.004 -0.013  6.47
010118.3 -385500 +0.069 +0.045  5.59
010301.5 +472234 +0.088 -0.015  6.45
010254.3 +412042 -0.020 -0.010  5.98
010249.1 +314816 +0.015 -0.028  5.50
010337.0 +610430 -0.006 +0.004  5.92
010226.4 -313307 +0.082 +0.012  5.50
010256.6 +075324 -0.078 +0.023  4.28
010201.8 -570009 +0.006 +0.015  6.11
010302.6 -045012 -0.108 -0.106  5.43
010419.6 +613449 -0.070 -0.022  5.84
010402.4 +523008 +0.001 -0.059  5.99
010249.2 -462351  0.000 +0.002  5.36
010317.6 -293133 -0.114 -0.030  6.29
010349.0 +012200 +0.122 -0.042  6.04
010446.8 +510036 +0.019 -0.002  6.54
010427.6 +293931 +0.084 -0.116  6.19
010242.9 -652722 +0.004  0.000  6.21
010436.4 +395928 +0.077 -0.022  6.72
011613.5 +870843 +0.051 -0.027  6.25
010452.6 +053923 +0.028 -0.014  6.00
010505.4 +145646 +0.006 +0.054  5.68
010622.8 +624542 +0.102 -0.024  6.54
010540.9 +212824 +0.050 -0.016  5.34
010541.7 +212755 +0.047 -0.018  5.56
010912.3 +800042 -0.030 -0.038  6.29
010549.2 +045430 +0.022 -0.121  6.35
010551.4 +045434 +0.029 -0.119  7.25
010536.8 -095845 -0.034 -0.033  6.12
010700.2 +565606 +0.100 -0.110  6.43
010605.1 -095022 +0.030 +0.004  5.58
010709.5 +532954 +0.023 -0.001  6.38
010633.6 +125722 +0.019 +0.023  6.12
010607.7 -235933 -0.031 -0.041  6.14
010816.4 +545513 +3.424 -1.596  5.17 Marfak
010605.0 -464307 -0.027 -0.001  3.31
010626.5 -353939 +0.069 -0.023  6.61
010800.9 +435631 +0.165 -0.070  5.03
010713.1 -235947 +0.098 -0.036  6.37
010833.3 +581549 +0.007 -0.005  5.79
010801.3 +320044 +0.204 -0.030  6.25
010757.2 +204421 +0.087 -0.094  5.55
010746.2 -094708 +0.152 +0.017  5.82
010822.2 +053859 -0.264 -0.185  5.52
010747.9 -412913 +0.038 +0.010  5.21
010718.7 -614631 +0.073 -0.012  5.37
011216.7 +794026 +0.091 -0.005  5.64
010835.4 -101056 +0.218 -0.138  3.45 Dheneb
010930.2 +471431 +0.010 -0.009  4.25
011039.3 +684643 +0.036 -0.031  5.29
010943.9 +353714 +0.178 -0.114  2.06 MIRACH
010823.1 -551445 +0.019 +0.025  3.92
010949.2 +193931 -0.006 +0.009  5.55
011018.8 +420453 -0.133 -0.043  5.65
011019.4 +252728  0.000 -0.114  5.80
011125.6 +641210 +0.040 -0.013  5.55
011106.2 +550859 +0.229 -0.022  4.33 Marfak
011011.5 +154027 +0.031 -0.021  6.06
011141.4 +650108 +0.023 -0.016  5.57
011012.0 -085422 -0.013 -0.036  6.40
011033.6 +022644  0.000 -0.015  5.95
011110.3 +374327 -0.012 -0.007  5.81
011106.8 +312529 -0.011 -0.014  5.16
011007.4 -574140 -0.006 -0.121  6.41
011127.2 +210205 +0.038 -0.011  4.66
011139.6 +300523 +0.072 -0.035  4.51
011143.5 -021504 -0.062 -0.026  5.94
011309.9 +614221 +0.033 -0.021  6.41
011234.0 +452016 +0.021 +0.026  6.11
011259.5 +300351 +0.020 -0.034  6.19
011630.7 +795436 -0.055 +0.059  6.26
011223.4 -304808 +0.061 -0.077  6.52
011245.4 -375123 +0.090 -0.034  5.92
011344.9 +243501 +0.017 -0.023  4.65
011343.9 +073431 +0.144 -0.056  5.24
011345.3 +073442 +0.147 -0.052  6.30
011405.0 +283147 +0.079 -0.049  6.43
011407.6 +160801 -0.027 -0.026  5.98
011612.1 +714438 +0.006 +0.004  7.83
011424.0 -075523 +0.127 +0.273  5.13
011442.4 +065943 -0.011 -0.024  6.03
011449.2 -005826 -0.012 +0.201  5.70
011624.5 +480456 +0.010 +0.001  6.61
011511.1 -453153 +0.669 +0.183  4.96
011618.8 +330653 +0.016 -0.033  6.02
011705.1 +445407 +0.014 -0.045  6.34
011636.3 -023001 -0.104 -0.063  5.41
011724.1 +314441 -0.052 +0.003  6.73
012019.5 +773414 -0.018 +0.086  6.31
011810.2 +472511 +0.018 -0.002  6.25
011546.1 -685234 +0.399 +0.107  4.86
011748.0 +033652 -0.046 -0.025  5.16
011847.0 +372310 -0.011 -0.014  6.46
011703.6 -662353 +0.044 +0.002  6.24
012159.1 +761420 +0.063 -0.032  6.38
012004.9 +581354  0.000 -0.002  4.98
011928.0 +271551 +0.025 -0.013  4.76
012105.2 +643930 +0.057 -0.019  6.34
011948.3 -003032 +0.012 -0.014  5.87
012346.8 +784333 -0.009 -0.003  6.07
012034.5 -031449 -0.013 +0.006  6.23
012027.8 -111420 -0.047 -0.074  6.15
012107.4 +284417 +0.027 -0.078  5.23
012220.4 +453144 +0.032 +0.009  4.88 Adhil
012321.6 +580835 +0.139 -0.094  6.45
012237.0 +014335 +0.066 -0.048  6.20
012234.8 -002659 +0.023 -0.014  6.49
012230.5 -190453 -0.056 -0.071  6.35
012340.6 +374254 +0.083 -0.022  5.58
012337.5 +341445 +0.229 +0.116  6.29
012324.9 +202808 -0.009 -0.007  5.97
012546.5 +705848 +0.016 -0.013  6.49
012556.0 +680748 +0.074 +0.026  4.74
012331.0 -305644 -0.012 -0.046  5.84
